id,EAP,HPL,MWS
id02310,0.0645,0.0049,0.9305
id24541,0.9614,0.0299,0.0087
id00134,0.0133,0.9816,0.0051
id27757,0.722,0.2706,0.0074
id04081,0.6571,0.2492,0.0937
id27337,0.9871,0.0126,0.0003
id24265,0.9716,0.0184,0.01
id25917,0.0067,0.0253,0.968
id04951,0.9948,0.0052,0.0001
id14549,0.6021,0.2457,0.1522
id22505,0.0543,0.0078,0.9379
id24002,0.0012,0.9973,0.0015
id18982,0.398,0.2615,0.3405
id15181,0.0096,0.9891,0.0012
id21888,0.9077,0.0173,0.075
id12035,0.0017,0.0002,0.9982
id17991,0.0532,0.0033,0.9435
id10707,1.0,0.0,0.0
id07101,0.3559,0.1302,0.5139
id00345,0.4472,0.5331,0.0197
id05912,0.9268,0.0168,0.0563
id13443,0.986,0.004,0.01
id09248,0.3544,0.016,0.6295
id17542,0.0063,0.9827,0.011
id06995,0.0156,0.0019,0.9826
id25159,0.8038,0.0364,0.1598
id25729,0.1771,0.794,0.0289
id26949,0.9643,0.0291,0.0066
id27191,0.0286,0.0014,0.97
id07668,0.1531,0.0016,0.8453
id02230,0.0366,0.319,0.6443
id15553,0.9995,0.0001,0.0004
id25688,0.0022,0.9933,0.0045
id17545,0.993,0.0029,0.0041
id13929,0.1796,0.1319,0.6886
id12880,0.4354,0.332,0.2325
id19282,0.6188,0.1863,0.1949
id14690,0.001,0.0006,0.9984
id17975,0.0268,0.9566,0.0165
id08037,0.9902,0.0015,0.0082
id15412,0.0628,0.0045,0.9327
id25032,0.4191,0.0533,0.5276
id27165,0.9994,0.0003,0.0003
id03327,0.6472,0.1294,0.2234
id18515,0.8659,0.0584,0.0757
id21003,0.1403,0.0239,0.8358
id23855,0.0038,0.8714,0.1248
id20724,0.9067,0.0835,0.0098
id13303,0.3341,0.1366,0.5292
id16521,0.0055,0.661,0.3335
id20775,0.9989,0.001,0.0002
id13029,0.9694,0.0147,0.0158
id14660,0.3931,0.5675,0.0394
id11028,0.0201,0.0009,0.979
id14180,0.9359,0.0482,0.0159
id25860,0.9945,0.0007,0.0048
id11910,0.6336,0.0235,0.3429
id08065,0.0708,0.0291,0.9
id22674,0.0311,0.002,0.9669
id25018,0.2576,0.0142,0.7282
id10892,0.0431,0.9496,0.0073
id10217,0.7212,0.2736,0.0052
id12996,0.2829,0.1353,0.5818
